image_url;A;B;C;doubleAgreement;tripleAgreement
IMG_01617.png;[(48, 333), (206, 478), (206, 581), (294, 718), (132, 723), (82, 602), (357, 541), (426, 540), (443, 579), (777, 746), (504, 735), (452, 705), (713, 649), (805, 620), (784, 511), (821, 403), (640, 438), (472, 215), (605, 118), (716, 69), (180, 66), (294, 47), (239, 87), (230, 215), (175, 338), (257, 392), (476, 496), (475, 355)];[(608, 128), (750, 747), (306, 718), (91, 492), (198, 475), (31, 327), (353, 536), (144, 725), (90, 608), (108, 557), (448, 701), (463, 180), (145, 342)];[(629, 111), (451, 186), (330, 496), (635, 428), (811, 622), (692, 637), (278, 37)];[(40, 330), (202, 477), (300, 718), (138, 724), (86, 605), (355, 539), (764, 747), (450, 703), (703, 643), (808, 621), (638, 433), (615, 120), (286, 42), (457, 183)];[(614, 119)]
IMG_01618.png;[(47, 579), (204, 532), (173, 672), (465, 647), (565, 507), (676, 524), (733, 578), (246, 413), (163, 324), (113, 264), (71, 92), (565, 150), (741, 105), (358, 31), (680, 16), (663, 327), (493, 496), (323, 570), (311, 341), (360, 255), (514, 731), (549, 665)];[(354, 35), (691, 22), (744, 105), (848, 86), (43, 576), (201, 735), (96, 691), (375, 675), (474, 637), (551, 672), (509, 736), (761, 580), (565, 516), (203, 500), (168, 336), (113, 272)];[(476, 625), (555, 670), (761, 570), (207, 509), (276, 404), (273, 147), (325, 563), (553, 508), (666, 536), (864, 396), (908, 361), (126, 271), (726, 109), (870, 76), (202, 654)];[(45, 578), (206, 513), (472, 637), (562, 511), (671, 530), (752, 577), (166, 330), (118, 270), (738, 107), (356, 33), (686, 19), (324, 567), (512, 734), (552, 670), (859, 81)];[(472, 637), (561, 511), (752, 576), (118, 269), (737, 107), (552, 669)]
IMG_01619.png;[(384, 54), (653, 100), (692, 210), (677, 62), (565, 68), (466, 266), (33, 151), (86, 250), (278, 273), (276, 184), (65, 582), (50, 463), (217, 528), (136, 606), (77, 725), (221, 700), (371, 626), (542, 690), (528, 537), (446, 421), (652, 286), (758, 328), (820, 483), (794, 553), (693, 581), (701, 686)];[(69, 725), (63, 592), (31, 152), (89, 256), (263, 310), (445, 428), (700, 575), (529, 548), (876, 441), (808, 465), (761, 332), (649, 285), (643, 102), (673, 50), (614, 41), (920, 258), (213, 672), (556, 690)];[(919, 263), (757, 329), (801, 446), (761, 243), (653, 117), (682, 46), (547, 685), (60, 589), (97, 238), (702, 559), (794, 550), (445, 420), (44, 154)];[(650, 107), (678, 53), (36, 153), (91, 249), (64, 588), (73, 725), (217, 686), (549, 689), (529, 543), (446, 423), (651, 286), (759, 330), (810, 465), (794, 552), (699, 572), (920, 261)];[(650, 107), (678, 53), (36, 153), (91, 248), (63, 588), (549, 689), (446, 423), (759, 330), (699, 572)]
IMG_01620.png;[(76, 510), (27, 536), (147, 527), (31, 342), (85, 56), (148, 222), (282, 35), (461, 463), (253, 479), (274, 706), (406, 737), (629, 743), (800, 684)];[(255, 472), (160, 513), (281, 721), (644, 748), (990, 470), (790, 691)];[(261, 474), (28, 557), (808, 688), (963, 513)];[(28, 547), (154, 520), (257, 476), (278, 714), (637, 746), (800, 688)];[(257, 475), (800, 688)]
IMG_01621.png;[(173, 259), (74, 196), (362, 158), (478, 205), (610, 88), (573, 308), (797, 339), (668, 476), (432, 389), (351, 410), (183, 448), (212, 620), (541, 546), (703, 676), (657, 717), (803, 583)];[(341, 418), (163, 255), (574, 311), (959, 632), (815, 592), (653, 466), (368, 167), (535, 553), (174, 466)];[(403, 386), (574, 315), (471, 211), (359, 186), (654, 471), (811, 587), (551, 563), (349, 418), (167, 269), (61, 205), (180, 443), (170, 550)];[(168, 262), (68, 201), (364, 171), (475, 208), (574, 312), (659, 471), (418, 388), (348, 416), (180, 453), (543, 555), (810, 588)];[(168, 261), (363, 171), (574, 312), (659, 471), (347, 416), (179, 453), (543, 554), (810, 588)]
IMG_01622.png;[(261, 520), (170, 640), (50, 564), (63, 696), (301, 710), (313, 577), (558, 593), (812, 620), (794, 352), (709, 231), (185, 375), (117, 346), (29, 231), (187, 89), (458, 53)];[(783, 608), (966, 527), (244, 501), (158, 642), (93, 355), (134, 111), (853, 155), (1000, 375)];[(784, 627), (192, 292), (248, 505), (144, 651), (555, 591), (902, 297), (286, 600)];[(252, 510), (158, 645), (557, 592), (791, 622), (105, 351)];[(251, 509), (158, 645)]
IMG_01623.png;[(354, 133), (449, 65), (734, 107), (767, 59), (242, 705), (304, 218), (234, 62), (43, 41)];[(763, 57), (969, 103), (304, 226), (241, 60), (418, 707), (705, 702)];[(293, 227), (739, 103), (433, 87), (236, 67), (717, 693)];[(441, 76), (737, 105), (765, 58), (301, 224), (238, 64), (711, 698)];[(301, 224), (237, 63)]
IMG_01624.png;[(50, 673), (258, 703), (409, 618), (575, 610), (620, 740), (665, 422), (767, 459), (836, 332), (492, 123), (505, 77), (474, 282), (522, 198), (434, 440), (323, 480), (310, 350), (62, 448), (193, 395), (59, 68), (325, 164)];[(411, 615), (250, 688), (314, 483), (311, 358), (466, 260), (59, 93), (835, 341), (940, 532), (904, 568), (589, 605), (75, 680)];[(314, 356), (500, 255), (610, 593), (358, 611), (308, 503), (440, 429), (902, 570), (261, 698), (349, 184)];[(63, 677), (257, 697), (410, 617), (591, 604), (836, 337), (470, 271), (437, 435), (316, 489), (312, 355), (59, 81), (903, 569)];[(257, 697), (315, 489), (312, 355)]
IMG_01625.png;[(325, 652), (57, 513), (145, 516), (248, 520), (251, 402), (34, 355), (339, 419), (392, 321), (453, 395), (572, 317), (800, 231), (439, 202), (297, 134), (133, 130), (40, 178)];[(585, 311), (38, 382), (223, 522), (323, 415), (393, 316), (330, 748)];[(270, 144), (321, 426), (456, 170), (235, 517), (595, 307), (872, 60), (276, 635), (120, 137)];[(236, 521), (36, 369), (328, 421), (393, 319), (585, 312), (284, 139), (127, 134)];[(236, 520), (328, 420), (584, 312)]
IMG_01626.png;[(150, 326), (326, 446), (364, 411), (426, 380), (569, 689), (389, 704), (209, 704), (167, 524), (53, 74), (299, 110), (385, 99), (593, 23), (659, 36), (762, 156), (830, 581), (808, 391), (751, 584), (785, 744)];[(304, 111), (53, 81), (426, 728), (576, 685), (748, 588), (910, 262)];[(289, 109), (735, 580), (552, 710), (914, 249), (336, 439), (338, 261), (435, 718)];[(331, 443), (568, 693), (53, 78), (298, 111), (746, 585), (431, 723), (912, 256)];[(298, 110), (745, 584)]
IMG_01627.png;[(406, 452), (182, 186), (294, 175), (177, 375), (659, 450), (767, 340), (683, 173), (821, 505), (847, 700), (619, 674), (553, 595), (225, 609), (611, 100)];[(405, 447), (763, 340), (945, 268), (186, 192), (178, 370)];[(422, 440), (757, 355), (412, 429), (312, 168), (316, 97), (571, 597), (614, 510), (689, 468), (185, 380), (966, 277), (781, 532)];[(411, 444), (184, 189), (303, 172), (181, 375), (763, 345), (562, 596), (956, 273)];[(411, 447), (408, 443), (180, 375), (763, 345)]
IMG_01628.png;[(261, 652), (340, 606), (504, 567), (818, 606), (247, 737), (84, 475), (50, 563), (186, 471), (308, 346), (359, 227), (440, 66), (201, 91), (146, 347), (28, 213), (32, 151)];[(146, 325), (276, 637), (469, 647), (501, 570), (820, 613), (614, 561), (963, 338), (893, 82), (183, 470)];[(139, 325), (185, 477), (511, 576), (600, 565), (856, 624), (190, 92), (211, 397), (343, 251)];[(269, 645), (506, 572), (819, 610), (185, 473), (351, 239), (196, 92), (145, 333), (607, 563)];[(506, 571), (185, 473), (144, 333)]
IMG_01629.png;[(447, 182), (600, 132), (806, 411), (766, 736), (297, 705), (341, 556), (212, 480), (176, 329), (39, 334), (153, 726), (82, 599), (296, 43), (187, 74), (648, 471), (810, 622)];[(455, 176), (598, 106), (345, 528), (200, 475), (101, 493), (285, 662), (145, 727), (90, 610), (769, 743), (816, 411), (634, 438)];[(604, 118), (620, 139), (452, 196), (343, 510), (809, 623), (635, 437), (201, 469), (282, 47), (304, 705), (446, 710)];[(452, 186), (604, 124), (811, 411), (768, 740), (301, 705), (344, 531), (205, 475), (149, 727), (86, 605), (289, 45), (810, 623), (635, 438)];[(452, 185), (601, 119), (205, 475)]
IMG_01630.png;[(64, 90), (124, 273), (166, 337), (155, 493), (22, 577), (106, 673), (196, 729), (241, 617), (490, 611), (541, 659), (521, 725), (677, 522), (749, 566), (656, 311), (785, 416), (747, 107), (537, 136), (371, 34), (308, 351), (265, 416), (281, 494), (321, 552), (491, 497)];[(44, 577), (275, 646), (381, 678), (504, 612), (995, 22), (164, 335), (125, 281), (491, 492), (571, 511), (661, 526), (111, 680)];[(272, 413), (122, 280), (56, 90), (737, 100), (868, 93), (486, 633), (321, 578), (242, 631), (570, 519), (485, 510), (550, 426), (878, 387)];[(60, 90), (124, 279), (165, 336), (33, 577), (109, 677), (242, 624), (494, 619), (669, 524), (742, 104), (269, 415), (321, 565), (490, 501), (571, 515)];[(124, 278), (494, 619), (489, 500)]
IMG_01631.png;[(524, 534), (471, 207), (482, 324), (690, 183), (676, 53), (644, 103), (575, 62), (369, 118), (24, 166), (82, 254), (127, 619), (64, 710), (203, 676), (58, 457), (278, 294), (696, 572), (709, 685), (548, 686), (403, 643), (758, 332), (821, 480)];[(534, 545), (699, 576), (810, 461), (636, 103), (125, 601), (60, 597), (268, 193), (36, 156), (651, 272), (478, 361)];[(469, 214), (639, 105), (472, 200), (650, 281), (753, 321), (871, 440), (939, 255), (683, 579), (522, 527), (192, 525), (94, 261), (27, 165), (556, 687), (68, 588), (442, 419), (272, 304), (286, 191)];[(528, 536), (471, 207), (640, 104), (29, 163), (88, 258), (126, 610), (275, 299), (693, 576), (552, 687), (756, 327), (816, 471), (64, 593), (277, 192), (651, 277)];[(527, 536), (640, 104), (29, 163), (693, 576)]
IMG_01632.png;[(262, 468), (350, 585), (361, 743), (662, 400), (610, 384), (795, 684), (153, 503), (28, 548), (8, 345), (155, 244), (81, 30), (722, 163)];[(263, 476), (145, 223), (146, 493), (373, 748), (995, 468), (659, 415), (608, 387), (708, 178), (790, 682), (31, 547)];[(607, 384), (272, 465), (371, 580), (700, 395), (140, 491), (800, 685), (968, 504)];[(267, 470), (361, 583), (367, 746), (661, 408), (609, 386), (795, 684), (147, 497), (30, 548), (150, 234), (715, 171)];[(266, 470), (609, 385), (795, 684), (147, 496)]
IMG_01633.png;[(577, 362), (490, 471), (529, 648), (418, 668), (258, 580), (113, 599), (147, 689), (346, 441), (447, 266), (403, 136), (649, 128), (763, 370), (801, 671), (722, 605), (655, 552), (578, 550), (576, 503), (72, 181), (158, 183), (186, 257), (248, 216), (207, 494)];[(575, 372), (478, 468), (571, 498), (525, 548), (586, 547), (658, 552), (735, 610), (804, 670), (530, 648), (125, 605), (139, 693), (14, 713), (435, 270), (906, 542), (990, 601), (905, 747), (73, 182), (183, 267), (613, 40)];[(574, 378), (238, 215), (149, 167), (188, 259), (69, 188), (470, 472), (584, 496), (578, 548), (659, 546), (721, 608), (917, 549), (225, 620), (125, 600), (519, 640), (800, 667), (423, 257), (553, 120), (220, 85)];[(576, 372), (480, 471), (527, 646), (122, 602), (143, 691), (436, 265), (802, 670), (727, 609), (658, 551), (582, 549), (578, 500), (72, 184), (154, 175), (187, 261), (243, 216), (912, 546)];[(576, 371), (480, 471), (526, 646), (121, 602), (435, 265), (802, 670), (726, 608), (658, 550), (581, 549), (577, 499), (72, 184), (186, 261)]
IMG_01634.png;[(442, 394), (506, 329), (572, 306), (618, 370), (549, 481), (629, 563), (801, 646), (666, 466), (755, 391), (637, 228), (322, 505), (418, 590), (406, 704), (274, 744), (491, 745), (627, 707), (275, 341), (443, 17), (146, 555), (33, 563)];[(571, 473), (459, 752), (411, 582), (776, 661), (619, 372), (515, 326), (629, 231), (28, 568), (929, 652)];[(626, 234), (700, 232), (560, 307), (552, 69), (798, 337), (263, 306), (411, 590), (911, 361)];[(511, 328), (566, 307), (619, 371), (560, 477), (789, 654), (631, 232), (414, 588), (31, 566)];[(631, 231), (414, 588)]
IMG_01635.png;[(352, 581), (40, 461), (95, 252), (103, 77), (613, 213), (390, 697), (507, 605), (601, 402)];[(356, 587), (411, 705), (16, 536), (98, 240), (99, 62), (625, 215), (694, 237)];[(397, 170), (625, 219), (694, 245), (743, 138), (342, 577), (612, 502), (607, 393), (101, 237), (279, 471), (220, 712), (369, 684), (106, 79)];[(351, 582), (99, 244), (103, 73), (622, 216), (390, 697), (604, 398), (694, 241)];[(350, 582), (98, 243), (103, 73), (621, 216)]
IMG_01636.png;[(450, 234), (305, 480), (538, 517), (389, 505), (348, 614), (386, 694), (35, 404), (38, 280), (44, 83), (191, 188), (339, 94), (464, 79), (671, 69), (710, 248), (817, 208), (648, 397), (810, 568), (708, 510)];[(384, 283), (340, 385), (664, 400), (705, 260), (839, 218), (974, 462), (904, 637), (811, 570), (296, 482), (188, 190), (328, 95), (439, 77)];[(691, 267), (861, 202), (966, 479), (665, 405), (379, 295), (450, 79), (190, 189), (298, 484), (541, 510), (901, 650), (50, 273), (321, 99)];[(300, 483), (540, 514), (44, 277), (190, 190), (330, 97), (452, 79), (703, 259), (840, 213), (660, 401), (811, 569), (382, 289), (970, 471), (903, 644)];[(300, 482), (190, 189), (330, 96), (451, 79), (702, 259), (659, 401)]
IMG_01637.png;[(68, 126), (211, 69), (126, 311), (109, 625), (295, 487), (386, 654), (549, 743), (685, 593), (445, 313), (691, 118), (441, 162)];[(116, 335), (105, 628), (655, 130), (199, 66), (466, 317)];[(103, 309), (675, 610), (122, 638), (319, 493), (931, 323), (465, 644), (977, 714)];[(205, 68), (116, 319), (113, 631), (307, 490), (680, 602), (456, 315)];[(115, 319), (112, 631)]
IMG_01638.png;[(66, 173), (288, 353), (100, 462), (406, 522), (317, 698), (110, 736), (705, 449), (825, 426), (826, 517), (807, 577), (809, 669), (534, 135), (680, 85), (400, 423), (460, 220), (838, 273), (764, 316)];[(285, 355), (49, 188), (873, 298), (838, 261), (761, 246), (888, 450)];[(225, 343), (721, 439), (440, 521), (355, 712), (907, 458), (991, 547), (102, 469), (271, 593), (883, 317)];[(58, 181), (287, 354), (101, 466), (713, 444), (838, 267), (878, 308), (898, 454)];[]
IMG_01639.png;[(523, 216), (453, 298), (407, 44), (261, 151), (186, 94), (36, 320), (236, 286), (161, 390), (273, 445), (317, 507), (127, 514), (473, 474), (782, 401), (824, 308), (791, 57), (599, 560)];[(318, 493), (274, 431), (228, 295), (774, 410), (410, 37)];[(830, 297), (511, 217), (388, 49), (289, 433), (248, 290), (331, 510), (473, 481), (133, 388), (778, 432)];[(517, 217), (402, 44), (238, 291), (147, 389), (279, 437), (323, 504), (473, 478), (777, 414), (827, 303)];[(402, 44), (238, 291), (279, 437), (322, 504)]
IMG_01640.png;[(367, 314), (486, 262), (549, 40), (437, 20), (77, 202), (175, 610), (470, 734), (463, 486), (646, 504), (686, 401), (560, 400)];[(476, 270), (450, 741)];[(475, 254), (303, 204), (232, 359), (559, 420), (914, 496), (364, 544), (273, 512)];[(480, 263), (460, 738), (560, 410)];[(479, 262)]
IMG_01641.png;[(84, 454), (155, 342), (40, 136), (421, 66), (706, 141), (770, 316), (682, 686), (562, 421), (540, 233), (175, 521), (112, 642), (713, 198), (810, 618), (842, 471), (547, 591), (25, 302)];[(16, 131), (854, 452), (933, 703), (166, 752)];[(90, 446), (168, 321), (600, 531), (545, 588), (816, 612), (889, 577), (949, 702), (857, 452), (177, 530), (101, 648)];[(87, 450), (162, 332), (28, 134), (176, 526), (107, 645), (813, 615), (852, 459), (546, 590), (941, 703)];[(851, 459)]
IMG_01642.png;[(195, 151), (289, 147), (489, 65), (64, 350), (91, 582), (327, 388), (384, 248), (555, 411), (585, 313), (552, 727), (520, 525), (274, 609), (93, 719), (801, 553), (676, 17), (673, 157)];[(386, 247), (554, 728), (185, 166), (873, 180), (953, 446)];[(393, 264), (180, 161), (287, 160), (585, 410), (584, 302), (693, 162), (873, 175), (995, 147), (875, 316), (881, 451), (908, 407), (850, 515), (541, 718), (522, 516), (340, 370), (528, 43), (97, 595)];[(187, 160), (288, 154), (94, 589), (334, 379), (388, 254), (585, 308), (550, 725), (521, 521), (683, 160), (873, 178)];[(187, 160), (388, 253), (549, 725)]
IMG_01643.png;[(399, 390), (290, 453), (192, 506), (254, 711), (97, 630), (598, 220), (667, 96), (789, 82), (805, 206), (789, 296), (539, 419), (622, 437), (596, 587), (480, 734), (277, 356), (413, 98), (267, 82)];[(373, 403), (283, 461), (259, 722), (985, 197), (655, 110), (786, 75)];[(398, 409), (301, 455), (280, 330), (609, 588), (614, 456), (535, 445), (813, 459), (981, 322), (254, 69)];[(391, 401), (292, 457), (257, 717), (661, 103), (788, 79), (537, 432), (618, 447), (603, 588), (279, 343), (261, 76)];[(390, 401), (292, 457)]
IMG_01644.png;[(291, 323), (115, 92), (42, 234), (31, 510), (222, 542), (213, 691), (503, 725), (575, 628), (718, 656), (624, 491), (569, 438), (486, 429), (388, 415), (279, 465), (613, 292), (722, 439), (463, 218)];[(289, 318), (93, 101), (730, 651), (941, 543), (211, 693)];[(221, 680), (236, 536), (296, 316), (101, 77), (509, 418), (611, 300), (861, 155), (38, 217), (386, 557), (391, 424), (292, 468)];[(293, 320), (104, 91), (40, 226), (229, 539), (216, 689), (724, 654), (498, 424), (390, 420), (286, 467), (612, 296)];[(292, 319), (103, 90), (215, 688)]
IMG_01645.png;[(120, 604), (314, 441), (65, 178), (160, 177), (246, 207), (454, 260), (402, 150), (656, 131), (618, 43), (563, 372), (588, 555), (651, 554), (719, 608), (792, 662), (830, 503), (768, 378), (197, 493), (253, 584), (529, 641), (425, 665), (480, 489)];[(576, 376), (521, 635), (124, 602), (654, 118), (998, 601)];[(564, 364), (511, 655), (670, 549), (238, 206), (72, 183), (951, 553), (808, 676), (119, 613), (471, 477)];[(122, 607), (69, 181), (242, 207), (655, 125), (568, 371), (661, 552), (800, 669), (521, 645), (476, 483)];[(121, 607), (568, 371), (521, 644)]
IMG_01646.png;[(425, 381), (510, 333), (565, 316), (636, 372), (628, 216), (705, 248), (811, 273), (793, 344), (789, 672), (655, 574), (653, 474), (587, 468), (565, 707), (418, 707), (313, 496), (308, 745), (276, 340), (771, 400), (154, 147), (660, 102), (153, 550)];[(516, 335), (633, 373), (565, 313), (786, 665), (934, 653), (980, 502), (581, 478), (429, 403), (401, 703)];[(408, 398), (623, 369), (630, 222), (570, 481), (650, 563), (782, 655), (536, 709), (773, 224), (945, 608)];[(421, 395), (513, 334), (565, 315), (632, 372), (629, 219), (786, 665), (653, 569), (580, 477), (551, 708), (410, 705)];[(421, 394), (631, 372), (786, 664), (580, 476)]
IMG_01647.png;[(344, 569), (43, 453), (97, 246), (107, 73), (604, 212), (582, 28), (749, 135), (711, 47), (479, 569), (381, 689), (732, 599), (498, 423), (698, 242)];[(355, 593), (20, 467), (100, 65), (628, 216), (748, 128)];[(348, 582), (633, 216), (411, 171), (110, 64), (101, 239)];[(350, 582), (32, 460), (99, 243), (106, 68), (623, 216), (749, 132)];[(349, 582), (106, 68), (622, 215)]
IMG_01648.png;[(701, 267), (646, 88), (826, 217), (665, 395), (550, 503), (307, 468), (385, 502), (391, 289), (453, 84), (331, 90), (199, 198), (52, 275), (41, 395), (61, 85), (813, 557), (822, 746), (397, 368), (179, 624), (343, 612), (386, 714)];[(296, 482), (714, 258), (666, 398), (981, 466), (904, 646), (668, 85), (856, 116), (846, 215), (438, 75), (44, 270), (190, 191), (30, 398)];[(705, 265), (417, 263), (287, 488), (648, 400), (971, 475), (810, 562), (528, 514), (903, 656), (184, 189)];[(707, 264), (657, 87), (836, 216), (660, 399), (539, 509), (297, 480), (446, 80), (192, 193), (48, 273), (36, 397), (812, 560), (976, 471), (904, 651)];[(707, 264), (660, 398), (297, 480), (191, 193)]
IMG_01650.png;[(911, 231), (801, 428), (803, 536), (742, 651), (454, 702), (683, 738), (333, 728), (345, 558), (160, 293), (190, 166), (480, 216), (478, 144), (487, 355), (505, 293), (723, 388), (668, 327), (708, 238), (747, 109), (637, 28)];[(488, 357), (451, 710), (803, 540), (804, 401), (895, 220), (753, 108), (481, 153), (481, 216), (329, 741), (671, 751), (735, 651), (719, 386), (504, 291)];[(709, 379), (671, 326), (511, 290), (476, 153), (268, 134), (354, 213), (482, 342), (468, 708), (809, 536), (821, 395), (502, 621), (573, 663), (443, 594), (381, 284)];[(903, 226), (808, 406), (806, 538), (739, 651), (458, 707), (677, 745), (331, 735), (481, 216), (479, 151), (487, 353), (507, 292), (718, 385), (670, 327), (750, 109)];[(805, 538), (458, 707), (479, 150), (486, 352), (507, 292), (717, 385)]
IMG_01651.png;[(427, 499), (282, 503), (98, 588), (95, 201), (76, 108), (372, 151), (260, 165), (561, 148), (464, 67), (868, 120), (661, 126), (712, 317), (678, 457), (911, 440), (590, 455), (581, 529), (80, 489), (806, 654), (147, 738)];[(108, 211), (50, 103), (375, 141), (709, 466), (441, 503), (275, 491), (881, 123)];[(693, 460), (454, 501), (259, 504), (91, 190), (271, 165), (891, 116), (920, 424), (684, 315)];[(441, 502), (273, 500), (99, 201), (63, 106), (374, 146), (266, 165), (881, 120), (698, 316), (694, 461), (916, 432)];[(441, 501), (272, 500), (98, 201), (880, 120)]
IMG_01652.png;[(199, 134), (287, 88), (379, 87), (505, 59), (614, 150), (700, 266), (501, 291), (606, 358), (353, 542), (163, 591), (217, 728), (86, 506), (725, 516), (956, 713), (683, 728), (877, 416), (935, 147), (984, 71), (852, 19), (59, 359), (847, 237), (761, 176)];[(788, 302), (871, 423), (200, 142), (274, 87), (364, 85), (340, 535), (731, 500), (965, 705), (596, 283)];[(873, 499), (694, 260), (183, 99), (302, 92), (602, 130), (735, 509), (117, 350), (939, 153)];[(200, 138), (288, 90), (372, 86), (608, 140), (697, 263), (347, 539), (731, 509), (961, 709), (874, 420), (937, 150)];[(288, 89), (731, 509)]
IMG_01653.png;[(781, 290), (600, 492), (462, 458), (290, 459), (533, 677), (817, 600), (879, 534), (923, 505), (917, 207), (67, 134), (214, 602), (135, 651), (171, 697)];[(436, 443), (820, 597), (544, 685), (919, 507), (143, 650), (184, 682)];[(444, 453), (826, 593), (521, 692), (275, 457)];[(447, 453), (283, 458), (533, 686), (822, 597), (921, 506), (139, 651), (178, 690)];[(533, 685), (821, 597)]
IMG_01654.png;[(467, 222), (165, 138), (114, 71), (667, 275), (758, 476), (787, 374), (943, 220), (658, 17), (756, 41), (892, 605), (937, 668), (200, 710)];[(456, 225), (664, 23), (786, 41), (683, 287), (751, 490), (948, 226)];[(683, 280), (664, 19), (453, 208), (741, 479)];[(459, 219), (678, 281), (751, 482), (946, 223), (663, 20), (771, 41)];[(459, 219), (678, 281), (750, 482), (662, 20)]
IMG_01655.png;[(535, 195), (703, 246), (543, 296), (121, 700), (177, 279), (290, 308), (860, 52), (949, 131), (847, 731)];[];[(709, 223), (170, 175), (441, 387)];[(706, 235)];[]
IMG_01656.png;[(319, 543), (298, 457), (754, 464), (580, 509), (915, 528), (644, 717), (573, 608), (227, 647), (84, 495), (428, 231), (72, 215), (399, 567), (801, 103)];[(384, 571)];[(384, 571), (636, 720), (281, 202), (201, 214), (295, 434), (426, 240)];[(297, 446), (640, 719), (427, 236), (391, 570)];[(389, 570)]
IMG_01657.png;[(550, 78), (870, 214), (881, 303), (864, 547), (896, 650), (531, 724), (329, 608), (281, 309), (244, 85), (583, 263), (587, 310), (73, 643), (252, 506), (35, 258), (607, 692), (650, 578), (771, 191)];[(341, 610), (549, 87), (808, 86), (879, 316), (10, 232), (296, 310)];[(346, 617), (549, 82), (811, 146), (867, 556), (268, 309), (238, 491)];[(550, 83), (880, 310), (866, 552), (340, 612), (282, 310), (245, 499)];[(550, 83), (339, 612), (282, 310)]
IMG_01658.png;[(398, 123), (252, 67), (219, 280), (39, 284), (242, 526), (396, 603), (359, 523), (347, 339), (584, 399), (707, 277), (661, 105), (805, 63), (958, 305), (939, 517), (783, 436), (838, 408), (792, 723), (659, 692), (558, 550), (387, 705), (324, 724), (96, 742)];[];[(365, 368), (208, 277), (534, 88), (399, 595), (409, 610), (232, 530), (663, 93)];[(214, 279), (237, 528), (401, 603), (662, 99)];[]
IMG_01659.png;[(444, 595), (335, 637), (241, 373), (427, 163), (772, 429), (805, 361), (905, 303), (867, 114), (938, 191), (715, 30), (929, 554), (638, 161), (610, 446), (755, 582)];[(803, 360), (909, 307), (751, 595), (628, 446), (464, 461), (499, 705), (705, 37)];[(470, 469), (645, 439), (915, 303), (949, 555), (265, 399), (746, 553)];[(804, 361), (910, 305), (710, 34), (939, 555), (628, 445), (753, 589), (467, 465)];[(910, 305)]
IMG_01660.png;[(343, 112), (98, 105), (252, 79), (135, 209), (208, 448), (219, 723), (343, 523), (735, 483), (884, 572), (991, 384), (786, 327), (982, 118), (729, 43)];[(353, 116), (618, 257)];[(351, 123), (255, 94), (113, 386), (311, 387), (446, 350), (247, 473)];[(350, 118), (254, 87)];[(349, 117)]
IMG_01661.png;[(430, 211), (634, 222), (847, 83), (985, 117), (901, 602), (668, 625), (514, 712), (392, 499), (222, 315), (40, 309), (28, 659), (172, 34)];[];[(367, 489), (434, 209), (638, 235), (881, 60)];[(432, 210), (636, 229), (380, 494)];[]
IMG_01662.png;[(892, 242), (796, 383), (809, 545), (744, 639), (474, 702), (375, 559), (483, 346), (482, 207), (633, 27), (222, 166), (169, 290), (335, 734), (754, 99)];[(378, 561), (455, 702), (890, 220), (818, 411), (813, 538), (635, 41)];[(489, 337), (494, 217), (481, 147), (214, 160), (462, 710), (662, 313), (735, 99), (820, 536)];[(891, 231), (815, 540), (464, 706), (377, 560), (486, 342), (488, 212), (634, 34), (218, 163), (745, 99)];[(814, 540), (464, 705)]
IMG_01663.png;[(293, 497), (411, 489), (698, 447), (578, 452), (908, 426), (887, 93), (663, 94), (540, 137), (471, 61), (378, 149), (254, 70), (130, 64), (95, 201), (997, 610), (172, 739), (88, 599)];[(706, 455), (100, 220), (359, 51), (894, 106), (811, 47), (161, 758), (289, 491)];[(270, 150), (694, 442), (465, 508), (292, 503), (904, 428), (112, 209), (585, 449)];[(292, 498), (700, 449), (582, 451), (906, 427), (891, 100), (103, 211), (167, 749)];[(292, 497), (700, 448), (103, 210)]
IMG_01664.png;[(814, 300), (866, 411), (980, 729), (727, 510), (660, 718), (210, 712), (181, 578), (364, 528), (90, 341), (565, 270), (704, 250), (984, 76), (200, 78)];[(215, 141), (815, 311), (709, 260), (876, 416)];[(200, 111), (308, 87), (613, 348), (862, 418), (867, 497), (452, 270), (354, 330), (98, 500), (737, 509), (946, 170)];[(815, 306), (869, 416), (732, 510), (707, 255)];[(868, 415)]
IMG_01665.png;[(332, 196), (412, 206), (544, 256), (724, 224), (620, 215), (535, 40), (675, 42), (904, 505), (950, 418), (183, 179), (63, 54), (409, 47), (311, 23)];[(553, 268), (414, 220), (344, 193), (520, 32), (415, 51), (618, 213), (885, 513), (959, 417), (184, 170)];[(552, 266), (552, 261), (409, 227), (341, 193), (610, 215), (565, 180), (784, 95), (885, 499), (965, 414), (186, 170), (239, 452), (416, 51)];[(340, 195), (413, 218), (551, 264), (617, 215), (528, 36), (892, 506), (959, 417), (185, 174), (414, 51)];[(339, 194), (412, 218), (550, 264), (550, 262), (616, 215), (892, 506), (958, 417), (185, 173), (414, 50)]
IMG_01666.png;[(623, 495), (385, 509), (208, 351), (791, 154), (788, 213), (788, 598), (788, 747), (807, 384), (979, 269), (919, 174), (505, 392)];[(623, 492), (330, 477), (785, 381), (798, 151), (799, 216), (926, 178), (803, 742)];[(615, 489), (810, 150), (791, 220), (385, 512), (800, 385), (794, 584)];[(621, 493), (385, 511), (800, 152), (793, 217), (791, 591), (796, 745), (798, 384), (923, 176)];[(621, 492), (800, 152), (793, 217), (798, 384)]
